Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,ERK1,0.6321376435713126,1.456008324863983,0.010067114093959731,0.9742973094844432,0.577,18/47,21.41%,CIC;MAPK3;BRAF;RAF1;NUP214;NUP153;PCBP2;ARHGEF2;SORBS3;YTHDF2;LIMA1;MKNK1;MED1;BAZ1B;CRTC3;EIF4G1;RAB5A;STMN1
prerank,Ret,0.9028701427784336,1.4240771756947352,0.022658610271903322,0.7622876897640163,0.726,3/5,7.55%,PLCG1;MAPK3;PDPK1
prerank,p90RSK,0.6942106114110602,1.3582051707193206,0.07255139056831923,1.0,0.924,5/16,12.72%,CIC;CHEK1;VASP;EIF4B;REPS1
prerank,ERK2,0.5814543710810347,1.356843411538057,0.0273224043715847,0.8703968134676087,0.927,21/54,22.23%,CIC;BRAF;NUP214;ERF;NUP153;RPS6KA1;PCBP2;CRTC2;ARHGEF2;SORBS3;YTHDF2;DMTN;MKNK1;NDEL1;RPS6KA3;MED1;PTPN7;CEP55;CRTC3;EIF4G1;TP53BP2
prerank,PKCA,0.597927746616296,1.3528448559844704,0.05537098560354374,0.7285134525777844,0.933,8/41,8.78%,SPN;PLCG1;BCL11B;PRKAA1;RAF1;VASP;CD3G;KCNAB2
prerank,Fyn,0.7007319056195215,1.3468917798379907,0.06826801517067003,0.6467257878651236,0.947,5/15,15.01%,BSG;AGAP2;NMT1;PECAM1;RPS6KA3
prerank,CDK9,-0.6874955953304676,-1.337746753469065,0.1708185053380783,1.0,0.916,4/7,12.63%,SIRT1;NCOA2;POLR2A;BORA
prerank,Akt1,0.5716739273479162,1.3176892672240414,0.051086956521739134,0.7434240192394409,0.976,14/53,16.32%,PLCG1;PRKAA1;AGAP2;ACIN1;BRAF;CHEK1;BCL10;RICTOR;PFKFB2;IWS1;ADAR;EDC3;RPS6KA3;NF2
prerank,CK1A,0.7814066176279568,1.315823712972801,0.09556786703601108,0.6612806252818277,0.98,2/7,4.18%,YWHAQ;APC
prerank,Akt3,0.8393593407430981,1.310751131622557,0.08625730994152046,0.618317550979508,0.983,4/5,16.32%,BRAF;IWS1;ADAR;NF2
prerank,Akt2,0.8048912099526402,1.3009832692736185,0.08413793103448276,0.611724034270254,0.99,4/6,16.32%,GAPDH;ADAR;EDC3;NF2
prerank,Cot,0.8130179797229493,1.2848533045227637,0.12223858615611193,0.6359810338466584,0.996,3/5,7.71%,CHEK1;RPS6KA1;MAP2K2
prerank,TAK1,0.7234762178147924,1.2808670496161625,0.12980132450331125,0.605340948945338,0.998,5/9,23.13%,MAP3K7;EIF4B;RBMX;HDAC7;CDC25C
prerank,ZAP70,0.7794077756141078,1.2409465464481535,0.16148148148148148,0.768883904311531,1.0,2/5,12.39%,DBNL;LCP2
prerank,EGFR,0.7479674085858832,1.216756605133933,0.20087976539589442,0.8478881707500375,1.0,2/6,5.99%,PLCG1;PRKDC
prerank,RSK2,0.7291056534940856,1.2145514404890982,0.22402159244264508,0.8029360188386192,1.0,1/7,0.82%,CIC
prerank,AMPKA1,0.5685249849724319,1.2128529718850223,0.16685979142526072,0.7617616113031715,1.0,11/29,27.24%,GAPDH;PRKAA1;BRAF;VASP;PFKFB2;MKNK1;KLC1;PFKFB3;NCL;LIPE;STIM1
prerank,PKACA,0.5180550117427506,1.2035114578102326,0.15252416756176154,0.7638040335629217,1.0,23/57,27.24%,PLCG1;RAF1;VASP;PDE4A;PFKFB2;MARK2;DMTN;SIK3;EMD;AKAP13;RB1;NF2;TPR;ENSA;URI1;PTPN7;PFKFB3;STMN1;PLEC;LIPE;NCOA3;PDE3B;STIM1
prerank,PKCB iso2,0.705979340447757,1.193362690426923,0.25289017341040465,0.7705880388128998,1.0,2/7,20.75%,PRKCB;EIF4G1
prerank,JNK2,0.7185714117150963,1.1893781659218317,0.2517289073305671,0.749744871723876,1.0,4/6,23.13%,LIMD1;BAZ1B;NFATC3;CDC25C
prerank,Chk1,0.5043947971108617,1.185055092857353,0.18181818181818182,0.7318803547271908,1.0,21/57,23.71%,RIF1;CHEK1;TICRR;NUP153;BUD13;SRRM2;SPEN;MAP2K2;BAZ1A;ARHGEF2;MATR3;RANBP2;MED1;RB1;PRRC2C;TRIP12;ANKRD12;CDC25B;MYCBP2;CDC25C;ZC3HC1
prerank,Syk,0.6951564454592613,1.1758201676539093,0.26609442060085836,0.7367603587354076,1.0,2/7,12.39%,PLCG1;LCP2
prerank,MAPKAPK2,0.576135150819426,1.1668876443908431,0.26956521739130435,0.740288045037782,1.0,8/19,23.13%,PARN;HNRNPA0;RBM7;CEP131;PFKFB3;CDC25B;RCSD1;CDC25C
prerank,NEK6,0.6928460569367559,1.1596477778297294,0.3062937062937063,0.7368758128075599,1.0,4/7,18.79%,BSG;NUP98;KIF20A;EML4
prerank,LYN,-0.528765628522253,-1.1531178100185033,0.25,1.0,0.984,2/12,1.89%,PEAK1;PTPN6
